waveform	[0]		[1]	
t0	2018-03-21  12:31:36,208121		2018-03-21  12:31:36,208121	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2018-03-21  12:31:36,208625	4,771642E-1	2018-03-21  12:31:36,208625	-1,641321E-1
2018-03-21  12:31:36,208627	4,771642E-1	2018-03-21  12:31:36,208627	-1,683415E-1
2018-03-21  12:31:36,208629	4,728984E-1	2018-03-21  12:31:36,208629	-1,767603E-1
2018-03-21  12:31:36,208631	4,728984E-1	2018-03-21  12:31:36,208631	-1,767603E-1
2018-03-21  12:31:36,208633	4,728984E-1	2018-03-21  12:31:36,208633	-1,809696E-1
2018-03-21  12:31:36,208635	4,643669E-1	2018-03-21  12:31:36,208635	-1,851790E-1
2018-03-21  12:31:36,208637	4,728984E-1	2018-03-21  12:31:36,208637	-1,851790E-1
2018-03-21  12:31:36,208639	4,771642E-1	2018-03-21  12:31:36,208639	-1,893884E-1
2018-03-21  12:31:36,208641	4,686327E-1	2018-03-21  12:31:36,208641	-1,935978E-1
2018-03-21  12:31:36,208643	4,686327E-1	2018-03-21  12:31:36,208643	-1,978072E-1
2018-03-21  12:31:36,208645	4,643669E-1	2018-03-21  12:31:36,208645	-2,020165E-1
2018-03-21  12:31:36,208647	4,643669E-1	2018-03-21  12:31:36,208647	-2,020165E-1
2018-03-21  12:31:36,208649	4,771642E-1	2018-03-21  12:31:36,208649	-2,020165E-1
2018-03-21  12:31:36,208651	4,771642E-1	2018-03-21  12:31:36,208651	-2,062259E-1
2018-03-21  12:31:36,208653	4,728984E-1	2018-03-21  12:31:36,208653	-2,146447E-1
2018-03-21  12:31:36,208655	4,686327E-1	2018-03-21  12:31:36,208655	-2,188541E-1
2018-03-21  12:31:36,208657	4,643669E-1	2018-03-21  12:31:36,208657	-2,188541E-1
2018-03-21  12:31:36,208659	4,686327E-1	2018-03-21  12:31:36,208659	-2,188541E-1
2018-03-21  12:31:36,208661	4,728984E-1	2018-03-21  12:31:36,208661	-2,230634E-1
2018-03-21  12:31:36,208663	4,728984E-1	2018-03-21  12:31:36,208663	-2,314822E-1
2018-03-21  12:31:36,208665	4,686327E-1	2018-03-21  12:31:36,208665	-2,356916E-1
2018-03-21  12:31:36,208667	4,686327E-1	2018-03-21  12:31:36,208667	-2,356916E-1
2018-03-21  12:31:36,208669	4,686327E-1	2018-03-21  12:31:36,208669	-2,356916E-1
2018-03-21  12:31:36,208671	4,728984E-1	2018-03-21  12:31:36,208671	-2,399010E-1
2018-03-21  12:31:36,208673	4,686327E-1	2018-03-21  12:31:36,208673	-2,441103E-1
2018-03-21  12:31:36,208675	4,643669E-1	2018-03-21  12:31:36,208675	-2,483197E-1
2018-03-21  12:31:36,208677	4,728984E-1	2018-03-21  12:31:36,208677	-2,483197E-1
2018-03-21  12:31:36,208679	4,771642E-1	2018-03-21  12:31:36,208679	-2,483197E-1
