Oscilloscope data: SCP 

Time base: 0,002402 seconds per division
Time offset: 0,000000 seconds
Channel A sensitivity : 2,000000 volts per division
Channel A offset: 0,000000 volts
Channel A color: 255
Channel B sensitivity : 0,500000 volts per division
Channel B offset: 0,000000 volts
Channel B color: 255
Channel A connected: yes
Channel B connected: yes

Column 1  Time (S)
Column 2  Channel_A Voltage(V)
Column 3  Channel_B Voltage(V)

Time                  Channel_A    Channel_B
--------------------------------------------
 4,001668146486e-003  2,0000e+000  2,0485e-002
 4,011668146486e-003  2,0000e+000  2,0736e-002
 4,021668146486e-003  2,0000e+000  2,0984e-002
 4,031668146486e-003  2,0000e+000  2,1227e-002
 4,041668146486e-003  2,0000e+000  2,1466e-002
 4,051668146486e-003  2,0000e+000  2,1701e-002
 4,061668146486e-003  2,0000e+000  2,1932e-002
 4,071668146486e-003  2,0000e+000  2,2159e-002
 4,081668146486e-003  2,0000e+000  2,2381e-002
 4,091668146486e-003  2,0000e+000  2,2600e-002
 4,101668146486e-003  2,0000e+000  2,2815e-002
 4,111668146486e-003  2,0000e+000  2,3026e-002
 4,121668146486e-003  2,0000e+000  2,3233e-002
 4,131668146486e-003  2,0000e+000  2,3436e-002
 4,141668146486e-003  2,0000e+000  2,3635e-002
 4,151668146486e-003  2,0000e+000  2,3830e-002
 4,161668146486e-003  2,0000e+000  2,4022e-002
 4,171668146486e-003  2,0000e+000  2,4210e-002
 4,181668146486e-003  2,0000e+000  2,4394e-002
 4,191668146486e-003  2,0000e+000  2,4574e-002
 4,201668146486e-003  2,0000e+000  2,4751e-002
 4,211668146486e-003  2,0000e+000  2,4924e-002
 4,221668146486e-003  2,0000e+000  2,5093e-002
 4,231668146486e-003  2,0000e+000  2,5259e-002
 4,241668146486e-003  2,0000e+000  2,5421e-002
 4,251668146486e-003  2,0000e+000  2,5580e-002
 4,261668146486e-003  2,0000e+000  2,5735e-002
 4,271668146486e-003  2,0000e+000  2,5887e-002
 4,281668146486e-003  2,0000e+000  2,6036e-002
 4,291668146486e-003  2,0000e+000  2,6181e-002
 4,301668146486e-003  2,0000e+000  2,6322e-002
 4,311668146486e-003  2,0000e+000  2,6461e-002
 4,321668146486e-003  2,0000e+000  2,6596e-002
 4,331668146486e-003  2,0000e+000  2,6728e-002
 4,341668146486e-003  2,0000e+000  2,6857e-002
 4,351668146486e-003  2,0000e+000  2,6983e-002
 4,361668146486e-003  2,0000e+000  2,7106e-002
 4,371668146486e-003  2,0000e+000  2,7225e-002
 4,381668146486e-003  2,0000e+000  2,7342e-002
 4,391668146486e-003  2,0000e+000  2,7455e-002
 4,401668146486e-003  2,0000e+000  2,7566e-002
 4,411668146486e-003  2,0000e+000  2,7674e-002
 4,421668146486e-003  2,0000e+000  2,7779e-002
 4,431668146486e-003  2,0000e+000  2,7881e-002
